sat.Earth.RadPer          sat.Earth.RadApo          sat.Earth.Energy          sat.Earth.SMA             sat.Earth.SemilatusRectum   sat.EarthMJ2000Eq.HX      sat.EarthMJ2000Eq.HY      sat.EarthMJ2000Eq.HZ      sat.Earth.HMAG            sat.EarthMJ2000Eq.X       sat.EarthMJ2000Eq.Y       sat.EarthMJ2000Eq.Z       
11000.00000000001         43999.99999999999         -7.247280754545454        27500                     17600                       -0                        0                         83757.7922965977          83757.7922965977          38783.41055564674         -20780.9303370217         0                         
11000                     44000                     -7.247280754545455        27500                     17600                       4.276134687154225e-15     7.995329593428242e-15     83757.7922965977          83757.7922965977          38837.02686752732         -20680.08163572845        -8.695179487821557e-18    
11000.00000000001         43999.99999999999         -7.247280754545454        27500                     17600                       -1.503307480428334e-15    -2.890860841560463e-15    83757.7922965977          83757.7922965977          39017.31563030538         -20328.80814713351        -1.345940142177407e-18    
11000.00000000001         44000                     -7.247280754545454        27500                     17600                       1.123975052723676e-14     2.289029704178975e-14     83757.7922965977          83757.7922965977          39536.18481663235         -19189.83210429428        -6.107965537329555e-17    
11000.00000000018         44000.0000000004          -7.247280754545378        27500.00000000029         17600.00000000026           6.054036157668931e-14     1.372776114623562e-13     83757.79229659832         83757.79229659832         40417.11223822625         -16452.23006978961        -2.248671274799464e-15    
11000.00000000057         44000.00000000156         -7.247280754545175        27500.00000000106         17600.00000000086           4.343670976492509e-14     8.857108228237967e-14     83757.79229659974         83757.79229659974         40879.00714923663         -13307.40148365948        -7.127678522515936e-15    
11000.00000000094         44000.00000000312         -7.247280754544919        27500.00000000203         17600.00000000147           5.34596216525308e-14      1.255707726743449e-13     83757.79229660118         83757.79229660118         40812.55961481926         -10038.52509028517        -1.099931861049153e-14    
11000.00000000124         44000.00000000505         -7.247280754544626        27500.00000000315         17600.000000002             5.567499402985224e-14     1.345045929085544e-13     83757.79229660245         83757.79229660245         40223.10930903955         -6751.50007699745         -1.58948029163641e-14     
11000.00000000144         44000.00000000729         -7.247280754544304        27500.00000000437         17600.00000000242           5.954127446343732e-14     1.589821209831443e-13     83757.79229660344         83757.79229660344         39139.13603623048         -3521.610850863073        -2.113858102154563e-14    
11000.00000000149         44000.00000000956         -7.247280754543999        27500.00000000553         17600.00000000269           6.102195342156097e-14     1.763196106930034e-13     83757.79229660409         83757.79229660409         37621.07033975928         -449.2135222241524        -2.646328165785873e-14    
11000.00000000144         44000.00000001191         -7.247280754543694        27500.00000000668         17600.0000000028            6.113667971717327e-14     1.739612899967598e-13     83757.79229660437         83757.79229660437         35731.8611477571          2413.821751163309         -3.109488472571795e-14    
11000.00000000127         44000.00000001468         -7.247280754543354        27500.00000000797         17600.00000000279           5.626311405359443e-14     2.266543684433802e-13     83757.79229660434         83757.79229660434         33533.67404807902         5031.323537109922         -3.61408807866085e-14     
11000.00000000094         44000.00000001859         -7.247280754542881        27500.00000000976         17600.0000000027            8.262951932603842e-14     9.264368818321377e-14     83757.79229660412         83757.79229660412         31091.13558086919         7373.523318968087         -3.882810057845689e-14    
11000.00000000047         44000.0000000248          -7.247280754542125        27500.00000001263         17600.00000000259           1.241208128436494e-13     -5.552657280598883e-14    83757.79229660386         83757.79229660386         28473.86108472569         9416.311554756669         -3.595299244350236e-14    
11000.00000000031         44000.00000002778         -7.247280754541754        27500.00000001404         17600.0000000026            1.779756433647143e-13     -2.022193877721808e-13    83757.79229660389         83757.79229660389         26066.81792102452         10964.18046962891         -2.89177730401014e-14     
10999.99999999971         44000.00000003853         -7.247280754540418        27500.00000001911         17600.00000000271           1.510149781566417e-13     -1.309383217329989e-13    83757.79229660414         83757.79229660414         23385.50801973421         12379.05644551391         -2.281183702171127e-14    
10999.9999999995          44000.00000004314         -7.247280754539837        27500.00000002132         17600.0000000028            1.245674975291153e-13     -8.571467331672426e-14    83757.79229660437         83757.79229660437         21003.72182599061         13395.9871512265          -1.752849930714346e-14    
10999.99999999881         44000.00000005837         -7.24728075453792         27500.00000002859         17600.00000000315           1.247598636237907e-13     -9.250996478638927e-14    83757.7922966052          83757.7922966052          18416.42842674563         14267.76587629719         -1.167318948306396e-14    
10999.99999999855         44000.00000006479         -7.247280754537108        27500.00000003167         17600.00000000333           1.856781108877189e-13     -1.750922184831045e-13    83757.79229660561         83757.79229660561         16141.71544375288         14844.96696606142         -4.750901614955596e-15    
10999.9999999978          44000.00000008311         -7.247280754534794        27500.00000004045         17600.00000000384           2.362210899794339e-13     -2.349812241302426e-13    83757.79229660683         83757.79229660683         13719.63427227137         15270.59698671535         4.148110900445739e-15     
10999.99999999691         44000.00000010581         -7.24728075453192         27500.00000005136         17600.00000000452           2.536178897490835e-13     -2.451739971690169e-13    83757.79229660844         83757.79229660844         11355.23982756668         15498.80419703615         1.098419369038616e-14     
10999.99999999601         44000.00000012945         -7.247280754528923        27500.00000006273         17600.00000000525           1.957334368021808e-13     -2.144412719892251e-13    83757.79229661018         83757.79229661018         9082.182341652142         15540.17328913642         1.856266409403278e-14     
10999.9999999952          44000.00000015134         -7.247280754526145        27500.00000007327         17600.00000000597           -9.754261683098759e-14    -6.54577688449957e-14     83757.79229661189         83757.79229661189         6911.400071688007         15409.53865944097         2.009162398379151e-14     
10999.99999999503         44000.00000015643         -7.247280754525498        27500.00000007573         17600.00000000614           -2.490414236325931e-13    -1.116150764617946e-15    83757.79229661232         83757.79229661232         5076.795766807558         15161.19751507499         1.529713943413564e-14     
10999.9999999949          44000.0000001619          -7.247280754524795        27500.00000007839         17600.00000000642           -1.812102601212431e-13    -1.769398101725828e-14    83757.79229661297         83757.79229661297         3208.999788324174         14767.68097843676         1.006238022950738e-14     
10999.99999999505         44000.00000016085         -7.247280754524912        27500.00000007795         17600.00000000653           3.320469145634866e-14     -4.678320775886048e-14    83757.79229661325         83757.79229661325         1471.630008938564         14261.26116962645         7.382268644660741e-15     
10999.99999999541         44000.0000001551          -7.247280754525622        27500.00000007526         17600.00000000653           -6.713631406734986e-14    -4.589506595921811e-14    83757.79229661323         83757.79229661323         -117.5653754520268        13664.9849238751          7.393490939328586e-15     
10999.99999999588         44000.00000014679         -7.247280754526656        27500.00000007133         17600.00000000646           -1.521075460269441e-13    -4.845846152117402e-14    83757.79229661307         83757.79229661307         -1574.42496421394         12990.95544868147         4.656758330518308e-15     
10999.99999999642         44000.000000137           -7.247280754527874        27500.00000006671         17600.00000000638           -1.299333437509098e-13    -4.503459730727859e-14    83757.79229661287         83757.79229661287         -2918.273358052233        12243.99754632733         2.0561965498009e-15       
10999.99999999702         44000.00000012645         -7.247280754529186        27500.00000006173         17600.0000000063            -3.519529616456744e-13    -1.08602849156159e-13     83757.79229661269         83757.79229661269         -4165.450967007067        11424.02477949403         -2.690629234188601e-15    
10999.99999999766         44000.00000011602         -7.247280754530475        27500.00000005684         17600.00000000628           -1.346816654865208e-13    -1.453276839024677e-14    83757.79229661265         83757.79229661265         -5328.95647148593         10526.69245990437         -6.742426393592878e-15    
10999.99999999832         44000.00000010717         -7.247280754531555        27500.00000005274         17600.00000000641           -7.01478801000164e-14     2.779274845751651e-14     83757.79229661296         83757.79229661296         -6419.158012426518        9542.83042767185          -8.542629797522823e-15    
10999.9999999989          44000.00000010316         -7.247280754532007        27500.00000005103         17600.00000000684           -5.76726620074679e-14     3.964530669027007e-14     83757.79229661397         83757.79229661397         -7445.059796844638        8455.896065833393         -9.128858213598496e-15    
10999.99999999907         44000.00000010887         -7.247280754531232        27500.00000005397         17600.00000000752           -6.633680645266928e-14    2.507054716494221e-14     83757.79229661559         83757.79229661559         -8364.203866233629        7306.40036648292          -8.811479001085026e-15    
10999.99999999892         44000.00000012005         -7.247280754529779        27500.00000005948         17600.00000000822           -1.949713295016244e-14    7.999062337844431e-14     83757.79229661726         83757.79229661726         -9163.80213780287         6119.776337253312         -7.977676756294553e-15    
10999.99999999867         44000.00000013197         -7.247280754528241        27500.00000006532         17600.00000000886           -1.039020750004437e-13    -5.521001287749059e-14    83757.79229661878         83757.79229661878         -9850.67926751304         4899.580418688383         -8.990209715434056e-15    
10999.99999999848         44000.00000014181         -7.247280754526969        27500.00000007014         17600.0000000094            -1.045262696939003e-13    -6.368618745130702e-14    83757.79229662006         83757.79229662006         -10432.35043868517        3643.371497417001         -1.0248864157212e-14      
10999.99999999844         44000.00000014771         -7.247280754526198        27500.00000007307         17600.00000000981           -9.920377966208952e-14    -4.966405977980076e-14    83757.79229662105         83757.79229662105         -10913.91060653534        2346.023379188745         -1.153550148852971e-14    
10999.99999999861         44000.0000001482          -7.247280754526109        27500.00000007341         17600.00000001008           -1.014866562574309e-13    -6.022532789223645e-14    83757.79229662167         83757.79229662167         -11297.44989274475        1000.484520797337         -1.296937127577829e-14    
10999.99999999905         44000.0000001424          -7.247280754526816        27500.00000007073         17600.00000001018           -1.024675940974495e-13    -7.548984031252615e-14    83757.7922966219          83757.7922966219          -11581.7977303624         -402.2366319173195        -1.453146858926834e-14    
10999.99999999981         44000.00000012915         -7.247280754528461        27500.00000006448         17600.00000001008           -1.048404079657829e-13    -5.467586554221988e-14    83757.79229662169         83757.79229662169         -11761.91510605666        -1871.494706530765        -1.594418303655553e-14    
11000.00000000084         44000.00000010877         -7.247280754531013        27500.0000000548          17600.00000000978           -1.061469997175456e-13    -4.499344403474513e-14    83757.79229662097         83757.79229662097         -11828.77538449753        -3408.877804690066        -1.682191150805461e-14    
11000.00000000139         44000.00000009769         -7.247280754532401        27500.00000004953         17600.00000000958           -8.963348907828523e-14    -9.433935724980159e-14    83757.79229662049         83757.79229662049         -11780.97144162566        -4886.461240766188        -1.811121265412939e-14    
11000.00000000164         44000.00000009187         -7.247280754533133        27500.00000004676         17600.00000000946           -1.237412723081776e-13    -2.093048101837662e-14    83757.79229662022         83757.79229662022         -11633.53782884742        -6314.712664136086        -1.876504505245321e-14    
11000.0000000018          44000.00000008858         -7.247280754533545        27500.00000004519         17600.00000000939           -1.318891090426648e-13    -4.820818295920891e-15    83757.79229662004         83757.79229662004         -11392.56833021259        -7722.413134062414        -1.838377057327121e-14    
11000.00000000188         44000.00000008661         -7.247280754533794        27500.00000004425         17600.00000000934           -7.462274907538912e-14    -7.834753774819332e-14    83757.79229661993         83757.79229661993         -11058.0722522626         -9126.951094713355        -1.838942806542003e-14    
11000.00000000192         44000.00000008566         -7.247280754533914        27500.00000004379         17600.00000000931           -4.641191909230944e-14    -1.136048411021259e-13    83757.79229661984         83757.79229661984         -10626.74038503107        -10538.59163176879        -2.018250954783758e-14    
11000.00000000192         44000.00000008547         -7.247280754533939        27500.0000000437          17600.00000000929           -1.353009866434265e-13    -3.651776779989601e-14    83757.79229661981         83757.79229661981         -10092.82312379838        -11964.05169285558        -2.152002027405283e-14    
11000.00000000188         44000.00000008594         -7.247280754533882        27500.00000004391         17600.00000000929           6.057325207570226e-14     -1.899036531253453e-13    83757.79229661981         83757.79229661981         -9448.565378674184        -13407.54683243624        -2.356570936710644e-14    
11000.00000000183         44000.00000008715         -7.24728075453373         27500.00000004449         17600.00000000932           1.395647952800162e-13     -2.412176359395198e-13    83757.79229661987         83757.79229661987         -8684.576921488217        -14870.92831737521        -2.835639416558621e-14    
11000.00000000175         44000.00000008893         -7.247280754533506        27500.00000004534         17600.00000000936           1.424556372739186e-13     -2.428235784729788e-13    83757.79229661997         83757.79229661997         -7790.399640824521        -16353.24701803958        -3.416001707624091e-14    
11000.00000000164         44000.0000000912          -7.247280754533221        27500.00000004642         17600.0000000094            1.061273637644855e-13     -2.240580292286504e-13    83757.79229662007         83757.79229662007         -6755.839470529845        -17849.45457477055        -3.918840375092445e-14    
11000.00000000152         44000.00000009394         -7.247280754532877        27500.00000004773         17600.00000000947           1.658392021238949e-13     -2.450455560620935e-13    83757.79229662023         83757.79229662023         -5572.679608805865        -19349.51664955642        -4.55759902719029e-14     
