sat.Earth.RadPer          sat.Earth.RadApo          sat.Earth.Energy          sat.Earth.SMA             sat.Earth.SemilatusRectum   sat.EarthMJ2000Eq.HX      sat.EarthMJ2000Eq.HY      sat.EarthMJ2000Eq.HZ      sat.Earth.HMAG            sat.EarthMJ2000Eq.X       sat.EarthMJ2000Eq.Y       sat.EarthMJ2000Eq.Z       
47999.99999999998         72000                     -3.321670345833334        59999.99999999999         57600.00000000001           1.455191522836685e-11     -107143.3279079943        107143.3279079944         151523.5474452733         63463.76272742193         -24045.27833564721        -24045.27833564721        
47999.99999999996         71999.99999999997         -3.321670345833335        59999.99999999997         57599.99999999998           1.818989403545856e-11     -107143.3279079943        107143.3279079943         151523.5474452733         63523.27706419955         -23966.53171635186        -23966.53171635186        
48000.00000000001         72000                     -3.321670345833334        60000                     57600.00000000001           1.455191522836685e-11     -107143.3279079943        107143.3279079944         151523.5474452733         63703.15532031273         -23725.96356661808        -23725.96356661809        
48000                     72000                     -3.321670345833334        60000                     57600.00000000001           1.455191522836685e-11     -107143.3279079943        107143.3279079944         151523.5474452733         64258.672922342           -22957.27710619248        -22957.27710619248        
47999.99999999999         72000.00000000001         -3.321670345833334        60000                     57600.00000000001           1.455191522836685e-11     -107143.3279079943        107143.3279079944         151523.5474452733         65896.0466618194          -20416.30767284417        -20416.30767284418        
48000.00000000038         72000.00000000015         -3.321670345833319        60000.00000000026         57600.00000000031           1.455191522836685e-11     -107143.3279079946        107143.3279079947         151523.5474452738         67815.34334994997         -16626.62962131822        -16626.62962131822        
48000.00000000064         72000.00000000026         -3.321670345833308        60000.00000000046         57600.00000000055           1.091393642127514e-11     -107143.3279079949        107143.3279079949         151523.5474452741         69201.84747738003         -12706.3763819135         -12706.3763819135         
48000.00000000102         72000.00000000045         -3.321670345833293        60000.00000000073         57600.00000000089           1.2732925824821e-11       -107143.3279079952        107143.3279079952         151523.5474452745         70038.26888494006         -8685.198473532004        -8685.198473532009        
48000.00000000137         72000.00000000064         -3.321670345833278        60000.000000001           57600.0000000012            1.091393642127514e-11     -107143.3279079955        107143.3279079955         151523.5474452749         70308.76001165579         -4593.945922388071        -4593.945922388078        
48000.00000000178         72000.0000000009          -3.321670345833259        60000.00000000134         57600.00000000159           1.216449163621292e-11     -107143.3279079958        107143.3279079958         151523.5474452754         69999.02132262159         -464.9143863266967        -464.9143863267045        
48000.00000000218         72000.00000000119         -3.32167034583324         60000.00000000169         57600.00000000198           1.2732925824821e-11       -107143.3279079962        107143.3279079962         151523.5474452759         69096.49264083002         3667.889451946846         3667.889451946837         
48000.00000000271         72000.0000000016          -3.321670345833214        60000.00000000215         57600.00000000247           1.455191522836685e-11     -107143.3279079966        107143.3279079967         151523.5474452766         67590.64515788338         7768.465654539405         7768.465654539394         
48000.00000000327         72000.0000000021          -3.321670345833185        60000.00000000268         57600.00000000304           1.455191522836685e-11     -107143.3279079971        107143.3279079972         151523.5474452773         65473.39328967247         11798.52656281651         11798.52656281649         
48000.00000000396         72000.00000000269         -3.321670345833149        60000.00000000333         57600.0000000037            1.818989403545856e-11     -107143.3279079978        107143.3279079978         151523.5474452782         62739.65042289969         15717.19818521945         15717.19818521943         
48000.00000000477         72000.00000000346         -3.321670345833105        60000.00000000413         57600.00000000457           1.818989403545856e-11     -107143.3279079986        107143.3279079986         151523.5474452793         59388.05774078336         19480.73084745862         19480.73084745861         
48000.00000000592         72000.00000000447         -3.321670345833046        60000.0000000052          57600.0000000057            1.818989403545856e-11     -107143.3279079996        107143.3279079996         151523.5474452808         55421.92018831141         23042.24035287414         23042.24035287413         
48000.00000000739         72000.00000000569         -3.321670345832971        60000.00000000654         57600.00000000714           2.182787284255028e-11     -107143.327908001         107143.327908001          151523.5474452827         50850.38718197918         26351.51210803877         26351.51210803876         
48000.00000000912         72000.00000000687         -3.321670345832891        60000.000000008           57600.00000000876           2.182787284255028e-11     -107143.3279080025        107143.3279080025         151523.5474452849         45795.77415327368         29299.76214791564         29299.76214791562         
48000.00000001101         72000.00000000787         -3.321670345832811        60000.00000000944         57600.00000001043           2.546585164964199e-11     -107143.3279080041        107143.3279080041         151523.5474452871         40373.17389588193         31828.34516160946         31828.34516160945         
48000.000000013           72000.00000000834         -3.321670345832743        60000.00000001067         57600.00000001202           3.274180926382542e-11     -107143.3279080055        107143.3279080056         151523.5474452892         34667.17897217575         33915.7217986929          33915.72179869288         
48000.00000001513         72000.00000000854         -3.321670345832678        60000.00000001184         57600.00000001364           2.91038304567337e-11      -107143.327908007         107143.327908007          151523.5474452913         28757.0193069803          35551.41179648401         35551.411796484           
48000.00000001746         72000.00000000832         -3.32167034583262         60000.00000001289         57600.00000001525           2.91038304567337e-11      -107143.3279080085        107143.3279080085         151523.5474452934         22718.87825709535         36732.38453920772         36732.38453920772         
48000.00000001986         72000.00000000777         -3.321670345832568        60000.00000001382         57600.00000001678           2.91038304567337e-11      -107143.32790801          107143.3279080099         151523.5474452954         16625.32148082734         37461.92155699193         37461.92155699193         
48000.00000002238         72000.00000000714         -3.321670345832517        60000.00000001476         57600.00000001842           2.887645678129047e-11     -107143.3279080115        107143.3279080115         151523.5474452976         10544.31674866798         37748.75857088836         37748.75857088837         
48000.00000002493         72000.00000000661         -3.321670345832461        60000.00000001577         57600.00000002005           2.91038304567337e-11      -107143.327908013         107143.327908013          151523.5474452997         4538.851111750902         37606.19900685977         37606.19900685979         
48000.00000002736         72000.00000000623         -3.321670345832404        60000.00000001679         57600.00000002169           3.274180926382542e-11     -107143.3279080146        107143.3279080145         151523.5474453019         -1333.628558817527        37051.28951237784         37051.28951237787         
48000.00000002963         72000.00000000633         -3.321670345832338        60000.00000001798         57600.00000002335           3.274180926382542e-11     -107143.3279080161        107143.327908016          151523.5474453041         -7021.048294034781        36104.05751589215         36104.05751589218         
48000.0000000316          72000.00000000709         -3.321670345832263        60000.00000001935         57600.00000002503           3.274180926382542e-11     -107143.3279080177        107143.3279080176         151523.5474453063         -12476.77268556619        34786.83361333892         34786.83361333895         
48000.00000003324         72000.00000000879         -3.32167034583217         60000.00000002101         57600.00000002674           3.274180926382542e-11     -107143.3279080192        107143.3279080192         151523.5474453085         -17659.44336000189        33123.63936324658         33123.6393632466          
48000.0000000345          72000.0000000115          -3.32167034583206         60000.000000023           57600.00000002851           4.365574568510056e-11     -107143.3279080209        107143.3279080208         151523.5474453108         -22532.73682964982        31139.64250651798         31139.642506518           
48000.00000003532         72000.0000000151          -3.321670345831937        60000.00000002522         57600.00000003025           4.365574568510056e-11     -107143.3279080225        107143.3279080225         151523.5474453131         -27065.05992974316        28860.66868423468         28860.6686842347          
48000.00000003575         72000.00000001962         -3.321670345831801        60000.00000002769         57600.00000003202           5.820766091346741e-11     -107143.3279080242        107143.3279080241         151523.5474453155         -31229.12823493864        26312.7997903397          26312.79979033973         
48000.00000003586         72000.00000002478         -3.321670345831655        60000.00000003032         57600.00000003375           7.275957614183426e-11     -107143.3279080258        107143.3279080257         151523.5474453177         -35001.50773475048        23522.04238555641         23522.04238555645         
48000.00000003575         72000.00000003034         -3.321670345831504        60000.00000003305         57600.00000003548           7.275957614183426e-11     -107143.3279080273        107143.3279080273         151523.54744532           -38362.11416203996        20514.07208104674         20514.07208104678         
48000.00000003548         72000.00000003619         -3.321670345831349        60000.00000003583         57600.00000003714           7.275957614183426e-11     -107143.3279080289        107143.3279080289         151523.5474453222         -41293.53772212633        17314.23260846816         17314.23260846819         
48000.00000003519         72000.00000004178         -3.321670345831203        60000.00000003848         57600.00000003869           6.912159733474255e-11     -107143.3279080304        107143.3279080303         151523.5474453242         -43780.62910478433        13947.46537765377         13947.4653776538          
