sat3.Earth.SMA            sat3.Earth.ECC            sat3.Earth.RadPer         sat3.Earth.Energy         sat3.Earth.HMAG           sat3.Earth.RMAG           sat3.EarthMJ2000Eq.VMAG   sat3.Earth.TA             sat3.EarthMJ2000Eq.FPA    
642589.9999999633         0.9850999999999994        9574.590999999826         -0.3101514507695597       87040.26367254966         9574.590999999833         9.09075527848147          0                         90                        
642590.4576977501         0.9851000106143875        9574.590998992382         -0.3101512298580431       87040.26390067364         9582.296775065532         9.087071873976699         3.262276089487798         88.38110844512647         
642591.3346931178         0.9851000309647646        9574.590989238031         -0.3101508065700571       87040.26430248644         9651.806104981659         9.054044957139014         10.30198009973079         84.88777727753109         
642592.0588362931         0.9851000477912155        9574.590966405194         -0.3101504570581284       87040.2645675945          9799.789771509511         8.984902506322696         17.50465914164099         81.31388026360045         
642592.5669361942         0.9851000596311656        9574.59092880549          -0.3101502118212167       87040.26465626247         10019.94816478198         8.884879151040286         24.43465856135306         77.87578814288679         
642592.8604898783         0.9851000665271883        9574.590871402965         -0.3101500701362667       87040.2645465299          10322.10347020161         8.752834145040053         31.34314425288496         74.44908065569429         
642592.8982336087         0.9851000675426369        9574.590781261968         -0.3101500519191021       87040.26415906666         10744.33506533068         8.577704901811863         38.68338285828266         70.80926292081737         
642592.6479419243         0.9851000619174706        9574.590666623304         -0.3101501727234393       87040.26351466878         11221.4910303294          8.39178353592726          45.23068916664454         67.56380488309581         
642592.1619330829         0.9851000508613016        9574.590529729187         -0.3101504072979253       87040.2626500437          11732.86979162921         8.205220323579523         51.00042473007648         64.70491490803475         
642591.4495941459         0.985100034602015         9574.590363993791         -0.3101507511123529       87040.26154025577         12293.50083651356         8.014177620199705         56.33598550421674         62.06229104703858         
642590.4988737653         0.9851000128711046        9574.590162369575         -0.3101512099841237       87040.26014738283         12914.99707088579         7.81706174718714          61.393155745109           59.55873492357782         
642589.2878224995         0.985099985171647         9574.589917096046         -0.3101517945083643       87040.25842525531         13607.83282473397         7.613387378071379         66.25076803346516         57.15523654582244         
642587.7858942053         0.9850999508092518        9574.58961919761          -0.3101525194299484       87040.25631785401         14383.60959633401         7.40296916969251          70.95792443836213         54.82755471250714         
642585.9556443648         0.9850999089309912        9574.589258767088         -0.3101534028239818       87040.25376144664         15255.09630438539         7.185937457896243         75.5442564111006          52.56112191849468         
642583.7598169046         0.985099858686889         9574.588826782065         -0.3101544626754773       87040.2506963903          16233.74462867091         6.963284485321831         80.01523216713137         50.35334109398242         
642581.1784435265         0.9850997996195383        9574.588319521756         -0.3101557086261835       87040.24709574488         17323.78030525486         6.737759957930297         84.34124058757763         48.2189296526218          
