DefaultSC.Venus.SMA       DefaultSC.Venus.ECC       DefaultSC.VenusMJ200Eq.INC   DefaultSC.VenusMJ200Eq.RAAN   DefaultSC.VenusMJ200Eq.AOP   DefaultSC.Venus.RadPer    DefaultSC.Venus.RadApo    DefaultSC.Venus.OrbitPeriod   DefaultSC.Venus.TA        DefaultSC.Venus.EA        
48414.99999999387         0.7000000000001165        30.00000000000011            59.99999999999814             90.00000000000853            14524.49999999252         82305.49999999523         117436.3620678847             235.9999999999829         283.3780737618043         
48414.99999250388         0.6999999999435514        29.99999999999801            60.00000000002283             90.00000000308184            14524.50000048412         82305.49998452365         117436.362040633              236.1876137947617         283.5978927622879         
48414.99996833134         0.6999999997616048        29.99999999999867            60.00000000001388             90.00000001294525            14524.50000204131         82305.49993462137         117436.3619526829             236.7891950771035         284.2981357747488         
48414.99988694762         0.6999999991493323        29.99999999999759            60.00000000002193             90.00000004451822            14524.50000726936         82305.49976662587         117436.361656574              238.7856583220809         286.5727320033694         
48414.99970248981         0.6999999977619836        30.00000000000164            59.99999999998722             90.00000010760316            14524.50001910051         82305.49938587913         117436.3609854373             243.1645930260836         291.3096412245994         
48414.99950629956         0.6999999962853634        30.00000000000032            59.99999999999695             90.00000016287905            14524.500031734           82305.49898086512         117436.360271613              247.6454612663885         295.8265653351874         
48414.9993022499          0.6999999947496757        30.0000000000004             59.99999999999685             90.00000020883979            14524.50004486942         82305.49855963037         117436.3595291928             252.1572487113585         300.0704634439399         
48414.99908851748         0.6999999931415788        30.00000000000027            59.9999999999975              90.00000024544586            14524.5000586057          82305.49811842926         117436.3587515426             256.7632532277033         304.1203122056837         
48414.99886351956         0.6999999914487389        29.99999999999072            60.00000000003184             90.00000027200386            14524.50007306516         82305.49765397396         117436.3579329036             261.519091807162          308.0338204658202         
48414.99862593674         0.699999989661461         30.00000000000194            59.99999999999244             90.00000028745352            14524.50008832137         82305.49716355211         117436.3570684754             266.4785823433901         311.8565267252377         
48414.99837555159         0.6999999877774418        30.00000000000274            59.99999999999099             90.00000028993026            14524.50010442061         82305.49664668256         117436.3561574668             271.6787390140156         315.6137347945824         
48414.99809211602         0.6999999856442559        29.99999999998467            60.00000000003494             90.00000027568396            14524.50012266813         82305.49606156391         117436.3551262066             277.5856364080915         319.6080306117123         
48414.99782942519         0.6999999836683104        29.99999999999606            60.00000000000671             90.00000024622932            14524.50013952627         82305.4955193241          117436.3541704246             283.1273539698026         323.1244296834674         
48414.99754281663         0.6999999815118866        30.00000000000251            59.99999999999373             90.00000019488974            14524.50015794695         82305.4949276863          117436.3531276197             289.3252284984905         326.827906664972          
48414.99729105586         0.699999979617258         29.99999999998826            60.00000000001734             90.00000013169682            14524.50017414716         82305.49440796456         117436.3522116061             294.9718109489845         330.0193354008832         
48414.99702762737         0.6999999776357837        29.99999999999765            60.00000000000163             90.00000004533247            14524.50019105168         82305.49386420308         117436.3512531403             301.1664748443611         333.3482208837971         
48414.99677605618         0.6999999757427877        29.99999999999792            60.00000000000085             89.99999993950188            14524.50020722971         82305.49334488265         117436.3503378163             307.4931063556317         336.5885838503326         
48414.99654168715         0.6999999739785866        29.99999999998109            60.00000000001782             89.99999981509127            14524.50022233278         82305.49286104152         117436.3494850813             313.9225805746192         339.741915241803          
48414.99632635844         0.6999999723584324        29.99999999997723            60.00000000001791             89.99999967183102            14524.50023617393         82305.49241654297         117436.3487016231             320.5044973048491         342.8480420654546         
48414.9961330738          0.6999999709047388        30.00000000001669            59.99999999998651             89.99999950883877            14524.5002485691          82305.49201757851         117436.3479983707             327.3073367920036         345.951974403782          
48414.99596663966         0.6999999696521362        30.00000000000102            59.99999999999763             89.99999932480711            14524.5002592836          82305.49167399571         117436.3473928119             334.414836815866          349.1028171803592         
48414.99583198836         0.6999999686389077        29.9999999999852             60.00000000000374             89.99999911766916            14524.50026794366         82305.49139603306         117436.3469028927             341.9393875046343         352.3609091646366         
48414.9957406129          0.6999999679519167        30.00000000001323            59.99999999999531             89.99999889592924            14524.50027379169         82305.49120743411         117436.3465704295             349.6506119115131         355.6426287876292         
48414.99569907421         0.6999999676391209        30.00000000000452            59.99999999999788             89.99999867288389            14524.50027647409         82305.49112167433         117436.346419294              357.2247069959392         358.8339559152957         
48414.99570500553         0.6999999676835663        29.99999999998701            59.99999999999688             89.99999845275482            14524.50027610166         82305.4911339094          117436.3464408747             4.650347734531954         1.954420518251573         
48414.99575585848         0.6999999680661673        29.99999999998382            59.99999999999413             89.9999982382614             14524.50027283392         82305.49123888304         117436.3466258995             11.96110975383703         5.039747806362081         
48414.99584938109         0.699999968769878         30.00000000000832            60.00000000000146             89.99999803162022            14524.50026682055         82305.49143194164         117436.3469661749             19.19644848415626         8.126761117397026         
48414.99598297563         0.6999999697747948        30.00000000000503            60.00000000000089             89.99999783583607            14524.50025824588         82305.49170770538         117436.3474522491             26.35454927303404         11.23441211280854         
48414.99615698001         0.6999999710841233        29.99999999999271            59.9999999999928              89.99999764998357            14524.50024705606         82305.49206690397         117436.3480853517             33.58908706328711         14.45163550514571         
48414.99637080885         0.6999999726928535        29.99999999998527            59.99999999998478             89.99999747691396            14524.50023331805         82305.49250829963         117436.3488633527             40.92846462674547         17.81882769136505         
48414.99659253425         0.6999999743614133        29.99999999999294            59.99999999999048             89.99999733653937            14524.50021905236         82305.49296601614         117436.3496700848             47.52991354318453         20.95936839504273         
48414.99681466808         0.6999999760330715        30.00000000000716            60.00000000000689             89.99999722375425            14524.50020475919         82305.49342457698         117436.350478303              53.50987424566918         23.91541464584776         
