sat4.Earth.SMA	sat4.Earth.ECC	sat4.Earth.RadPer	sat4.Earth.Energy	sat4.Earth.HMAG	sat4.Earth.RMAG	sat4.EarthMJ2000Eq.VMAG	sat4.Earth.TA	sat4.EarthMJ2000Eq.FPA	Column1
648994.2902	0.985208184	9599.803888	-0.307090869	87157.16528	157756.1148	2.106939426	153.1758766	15.20179525	
649667.224	0.985217416	9603.760352	-0.306772781	87175.3266	163195.7141	2.066734636	153.6920799	14.97894278	
650374.8828	0.985226724	9608.167918	-0.306438988	87195.53291	168539.2556	2.02908417	154.174239	14.7719473	
651117.5897	0.98523605	9613.0676	-0.306089444	87217.96761	173792.4109	1.993717122	154.6259265	14.57910673	
651895.5831	0.985245331	9618.503817	-0.305724146	87242.82905	178960.2887	1.960402047	155.0501808	14.39897691	
652708.9909	0.985254494	9624.524519	-0.305343152	87270.33101	184047.5115	1.928939795	155.4496036	14.23032465	
653557.8021	0.985263459	9631.181279	-0.304946586	87300.70298	189058.2796	1.899157884	155.8264364	14.07209079	
654441.8368	0.985272138	9638.529323	-0.304534658	87334.19026	193996.4242	1.870906019	156.1826212	13.92336111	
655360.7126	0.985280431	9646.627507	-0.304107672	87371.05364	198865.4525	1.844052502	156.5198491	13.78334294	
656313.8104	0.985288229	9655.538203	-0.303666048	87411.56882	203668.5857	1.81848132	156.8395999	13.6513463	
657300.2366	0.985295415	9665.327091	-0.303210329	87456.02526	208408.7908	1.794089774	157.1431744	13.52676849	
658318.7856	0.985301858	9676.062823	-0.302741202	87504.72453	213088.8086	1.770786519	157.4317213	13.40908136	
659367.9009	0.985307419	9687.816564	-0.302259513	87557.97803	217711.1773	1.748489948	157.706259	13.29782075	
660445.6379	0.985311946	9700.661353	-0.301766276	87616.10397	222278.2528	1.727126842	157.967695	13.19257752	
661549.628	0.98531528	9714.671309	-0.30126269	87679.42352	226792.2268	1.706631234	158.2168416	13.09298997	
662677.0476	0.985317251	9729.920631	-0.300750149	87748.25622	231255.1419	1.686943455	158.4544298	12.99873721	
663824.593	0.985317684	9746.482412	-0.300230246	87822.91438	235668.9053	1.668009326	158.6811214	12.90953344	
664988.4633	0.985316396	9764.427246	-0.299704779	87903.6967	240035.3003	1.649779468	158.8975193	12.82512281	
666164.3546	0.985313201	9783.821652	-0.299175751	87990.88112	244355.9973	1.632208716	159.1041769	12.74527486	
667347.4679	0.985307914	9804.726328	-0.298645354	88084.71685	248632.5623	1.615255618	159.3016064	12.66978036	
668532.5324	0.98530035	9827.194282	-0.298115965	88185.41607	252866.4657	1.598882011	159.490286	12.59844752	
669713.846	0.985290331	9851.268881	-0.297590115	88293.14525	257059.0889	1.583052653	159.6706662	12.53109854	
670885.3361	0.98527769	9876.981899	-0.297070468	88408.01665	261211.7314	1.567734912	159.8431757	12.46756643	
672040.6384	0.985262273	9904.351642	-0.296559775	88530.08026	265325.6163	1.552898508	160.0082258	12.40769219	
673173.1956	0.985243944	9933.381233	-0.296060839	88659.31662	269401.8961	1.53851529	160.1662149	12.35132227	
674276.3715	0.985222592	9964.057179	-0.295576457	88795.63098	273441.6569	1.524559044	160.3175314	12.29830635	
675343.5796	0.985198129	9996.348291	-0.295109374	88938.84926	277445.9235	1.511005347	160.4625559	12.24849558	
676368.4199	0.985170501	10030.20507	-0.294662221	89088.71613	281415.6634	1.497831426	160.6016634	12.20174112	
677344.8186	0.985139682	10065.55958	-0.294237463	89244.89544	285351.7907	1.485016055	160.7352233	12.15789316	
678267.1642	0.985105683	10102.32598	-0.293837342	89406.97334	289255.1697	1.472539458	160.8636002	12.11680032	
679130.4345	0.985068551	10140.40149	-0.293463834	89574.46384	293126.6187	1.460383229	160.9871528	12.07830954	
679930.3057	0.985028365	10179.66804	-0.293118602	89746.81689	296966.9131	1.44853026	161.1062329	12.04226624	
680663.2408	0.984985241	10219.99437	-0.292802973	89923.42851	300776.7884	1.436964674	161.2211838	12.00851498	
681326.5514	0.984939324	10261.23851	-0.292517913	90103.6526	304556.9435	1.42567176	161.3323383	11.97690024	
681918.4304	0.984890787	10303.25061	-0.292264019	90286.81386	308308.0433	1.414637913	161.440017	11.94726757	
682437.9568	0.984839829	10345.87589	-0.292041524	90472.22123	312030.7216	1.403850568	161.544526	11.91946474	
682885.0712	0.984786667	10388.95765	-0.291850311	90659.18127	315725.583	1.393298136	161.6461553	11.89334305	
683260.5272	0.984731534	10432.34016	-0.291689938	90847.01087	319393.206	1.382969938	161.7451769	11.86875852	
683565.8206	0.984674671	10475.87135	-0.291559664	91035.04883	323034.1444	1.372856141	161.8418439	11.84557309	
683803.1039	0.984616324	10519.40523	-0.291458491	91222.66593	326648.9296	1.362947687	161.9363894	11.82365557	
683975.0888	0.984556742	10562.80388	-0.291385204	91409.27327	330238.0726	1.35323623	162.0290263	11.80288248	
684084.9437	0.984496166	10605.93908	-0.291338411	91594.32867	333802.0649	1.343714065	162.1199468	11.78313868	
684136.1907	0.984434834	10648.6935	-0.291316588	91777.34124	337341.3807	1.334374075	162.2093234	11.76431775	
684132.6054	0.984372969	10690.96153	-0.291318115	91957.87404	340856.4776	1.325209662	162.2973089	11.74632221	
684078.1239	0.984310784	10732.64962	-0.291341316	92135.54515	344347.7981	1.316214698	162.3840379	11.72906351	
683976.7587	0.984248476	10773.67642	-0.291384493	92310.02726	347815.7703	1.307383469	162.4696276	11.71246188	
683832.5249	0.984186227	10813.97252	-0.291445951	92481.04613	351260.8091	1.298710634	162.5541791	11.696446	
683649.3779	0.984124201	10853.48001	-0.291524029	92648.37795	354683.3168	1.290191178	162.6377792	11.68095264	
683431.1627	0.984062547	10892.15188	-0.29161711	92811.84614	358083.6836	1.281820379	162.7205013	11.66592614	
683181.5733	0.984001396	10929.9512	-0.291723648	92971.31762	361462.2887	1.273593773	162.8024072	11.65131782	
682904.1227	0.983940864	10966.85036	-0.29184217	93126.69873	364819.5004	1.265507127	162.8835483	11.63708547	
682602.122	0.983881049	11002.83008	-0.291971288	93277.93114	368155.6767	1.257556415	162.9639669	11.6231927	
682278.6668	0.983822038	11037.87859	-0.292109706	93424.98769	371471.1657	1.249737794	163.0436977	11.60960838	
681936.6308	0.983763901	11071.99072	-0.292256218	93567.8684	374766.3063	1.24204759	163.1227686	11.59630606	
681578.6643	0.983706698	11105.16703	-0.292409712	93706.59668	378041.4281	1.234482282	163.2012019	11.58326342	
681207.1972	0.983650477	11137.41301	-0.292569165	93841.21578	381296.8519	1.227038486	163.2790152	11.57046179	
680824.4459	0.983595274	11168.73836	-0.292733644	93971.78552	384532.8901	1.219712947	163.3562221	11.55788564	
680432.4215	0.983541119	11199.15626	-0.292902299	94098.37936	387749.847	1.21250253	163.4328331	11.54552218	
680032.941	0.983488031	11228.68277	-0.293074363	94221.08175	390948.0188	1.205404209	163.5088562	11.53336099	
679627.639	0.983436023	11257.33632	-0.29324914	94339.9858	394127.6942	1.198415064	163.5842971	11.52139362	
679217.9797	0.983385102	11285.13713	-0.293426009	94455.19119	397289.1544	1.191532272	163.6591603	11.50961334	
678805.27	0.98333527	11312.10685	-0.29360441	94566.80243	400432.6734	1.184753105	163.7334486	11.49801482	
678390.6719	0.983286521	11338.26817	-0.293783846	94674.92728	403558.5182	1.178074922	163.8071643	11.48659393	
677975.2148	0.98323885	11363.64449	-0.293963874	94779.6755	406666.9491	1.171495169	163.8803088	11.47534753	
677559.807	0.983192244	11388.25962	-0.294144102	94881.15769	409758.2199	1.165011371	163.9528834	11.46427326	
677145.2472	0.983146692	11412.13762	-0.294324182	94979.48439	412832.5779	1.158621133	164.0248887	11.45336942	
676732.2348	0.983102176	11435.30251	-0.294503809	95074.76533	415890.2644	1.152322134	164.0963257	11.44263483	
676321.3799	0.983058678	11457.77818	-0.294682715	95167.10876	418931.5146	1.146112128	164.167195	11.43206872	
