TA            RMAG          VMAG    Energy        VelPeriapsis   SemilatusRectum   FPA     HMAG          
249.9999999999838         23274.94585749557         3.263407317292557         3.48480994774803          5.380415319868467          10265.8962377326              163.9747886337505         20968.33398747549         
250.1341490011316         23086.67051707054         3.268002450136278         3.484809967408848         5.38041532576302           10265.89623770542             163.8638800197234         20968.33398744772         
250.5915425876412         22465.89227339441         3.283650570118184         3.484810034569968         5.380415345875054          10265.8962377602              163.4866482967457         20968.33398750367         
252.0385669993367         20695.25583612657         3.332952214815877         3.484810248266648         5.380415409901829          10265.89623772698             162.3023901851933         20968.33398746974         
254.2544106284925         18446.1567167619          3.407818092190662         3.48481057885901          5.380415508941714          10265.8962377418              160.5146462769882         20968.33398748488         
256.4811989427848         16611.96257518217         3.482232596359691         3.484810914736473         5.380415609572093          10265.89623771212             158.747361049201          20968.33398745457         
258.9171912073932         14967.88010083112         3.562628051588953         3.484811285763123         5.380415720719707          10265.89623776423             156.8451321804881         20968.33398750779         
261.5843457330049         13493.03336179072         3.649360877456718         3.484811695533872         5.380415843483626          10265.89623776051             154.7967104421153         20968.33398750398         
264.5127471736529         12167.26576415114         3.742933138883596         3.484812148668393         5.380415979240873          10265.89623774451             152.5854670034674         20968.33398748764         
268.1382401818863         10841.4939211181          3.856220892201467         3.484812712629884         5.38041614819491           10265.89623776518             149.8975024574238         20968.33398750876         
271.7389340603153         9780.857874125286         3.965754005438047         3.484813273885098         5.380416316354735          10265.89623768251             147.2767648848207         20968.33398742432         
276.1896056050372         8728.035044098042         4.096778333182256         3.484813965916545         5.380416523672091          10265.89623773538             144.0969925319438         20968.33398747833         
280.5681092053342         7898.548713599386         4.220691023732041         3.484814641082046         5.38041672594801           10265.89623771688             141.0254938365556         20968.33398745943         
285.2733253198411         7176.501150116538         4.348027092061592         3.484815355859473         5.380416940079431          10265.89623777215             137.7796247147116         20968.33398751587         
290.2779733829424         6553.927039329357         4.476510277277192         3.484816098594254         5.380417162607766          10265.89623769532             134.3815223841155         20968.33398743741         
295.5952927379062         6017.545740867959         4.604792365517412         3.484816861755052         5.380417391238403          10265.89623772522             130.8242255270031         20968.33398746795         
301.8818692785875         5510.010658987102         4.745026130163077         3.484817720688965         5.380417648566711          10265.89623772389             126.6787489969041         20968.33398746658         
308.6406580388058         5080.992769324856         4.881381326073582         3.484818580570286         5.380417906176967          10265.89623773419             122.2830166818666         20968.3339874771          
315.8027849966814         4727.273183039668         5.008922886582628         3.484819406907318         5.380418153744274          10265.8962377033              117.6817775826971         20968.33398744556         
323.2363987539946         4445.69283889539          5.122203603674076         3.484820158735983         5.380418378983901          10265.89623770794             112.9559579579032         20968.3339874503          
331.0482550523769         4224.697900462712         5.21965991246929          3.484820819016699         5.380418576782861          10265.89623779865             108.0325593673427         20968.33398754294         
339.7496912926723         4052.555460312463         5.301517797240504         3.484821383198907         5.380418745808374          10265.89623778513             102.5870334796514         20968.33398752913         
348.5092137655388         3946.225370155566         5.354961082553769         3.484821756284738         5.38041885758154           10265.89623778271             97.13301869453544         20968.33398752666         
356.8873618777574         3900.726476429179         5.378549196847421         3.484821922097076         5.38041890727204           10265.8962376905              91.93110015724625         20968.33398743248         
5.048273578821581         3906.557543390989         5.375501317455667         3.484821900646053         5.38041890083951           10265.89623772803             86.8677897185556          20968.33398747081         
13.01899570318495         3960.309757102893         5.347748434928018         3.484821705699787         5.38041884243322           10265.89623774264             81.91691465062291         20968.33398748574         
20.69600209486432         4059.681088104598         5.298017725393224         3.484821358853511         5.380418738530805          10265.89623768493             77.13482277564269         20968.3339874268          
28.07224746608652         4203.982009781013         5.229221694500176         3.484820884411032         5.380418596395612          10265.89623766606             72.51947693592861         20968.33398740753         
35.22481485615919         4396.583431365149         5.14316869522232          3.484820299709604         5.380418421215498          10265.89623772474             68.01697943849193         20968.33398746745         
42.15949929737918         4642.262019313861         5.041936568063607         3.484819624260645         5.380418218866103          10265.8962376725              63.61824490608544         20968.33398741411         
48.65338580888404         4936.537910578844         4.931652537197953         3.484818903705914         5.3804180029955            10265.89623766989             59.46163865899553         20968.33398741144         
54.55577694390124         5270.806425877083         4.818794380649541         3.484818182860446         5.380417787022485          10265.89623776265             55.64527335154549         20968.33398750617         
60.02057019773531         5651.183095973741         4.703926684958519         3.484817466272717         5.380417572343334          10265.8962377413              52.07301978173825         20968.33398748437         
65.08479084335774         6080.06906110631          4.588870751918547         3.48481676585772          5.380417362505708          10265.89623774271             48.72357641781453         20968.33398748581         
69.80717118435851         6563.475000199269         4.474386200533605         3.484816086137885         5.380417158871013          10265.89623772617             45.56109164676913         20968.33398746891         
74.23162603255085         7108.89070576403          4.361061401766331         3.484815430210326         5.380416962357219          10265.8962377534              42.5588786619691          20968.33398749672         
78.38926516728512         7725.098842785736         4.249438130868421         3.48481480057952          5.380416773727549          10265.89623774392             39.69839464226844         20968.33398748704         
82.29873898167492         8421.599952240696         4.140131878880296         3.484814199838997         5.380416593752796          10265.89623773642             36.96940884536675         20968.33398747939         
85.96390856545483         9206.892378558963         4.034000547841364         3.484813631531309         5.380416423486992          10265.89623777632             34.37217579313214         20968.33398752013         
89.37450123152364         10085.96035224895         3.93221131817456          3.484813100336041         5.380416264344007          10265.89623778933             31.9177029529532          20968.33398753342         
92.52000983573278         11060.6360822141          3.835870451491621         3.484812610072011         5.380416117474821          10265.89623773246             29.61829747932677         20968.33398747534         
95.40481621784654         12133.60500914986         3.745541148614725         3.484812161451849         5.380415983068424          10265.89623775851             27.476242725006           20968.33398750194         
