DefaultSC.Earth.SMA       DefaultSC.Earth.ECC       DefaultSC.Earth.SemilatusRectum   DefaultSC.EarthMJ2000Eq.INC   DefaultSC.EarthMJ2000Eq.AOP   DefaultSC.EarthMJ2000Eq.RAAN   DefaultSC.Earth.RMAG      DefaultSC.EarthMJ2000Eq.VMAG   DefaultSC.EarthMJ2000Eq.FPA   DefaultSC.Earth.TA        DefaultSC.Earth.MA        DefaultSC.Earth.EA        
30582.27001262742         0.3746500828672273        26289.66049272476                 37.59828958161378             45.88685637578224             65.19546577899199              22375.61523176514         4.753356708684927              105.747452743072              297.8333364320937         330.72615017135           315.7465446236959         
30582.33308654618         0.3746518038495727        26289.67527642033                 37.59830961092985             45.88689000931494             65.19545640929604              22298.46526556094         4.766308402769305              105.5977362842166             298.5386315404217         331.1320855387876         316.3022305910296         
30582.53439988909         0.3746574187167612        26289.71966358881                 37.59836952936812             45.88704738992345             65.19543109296627              22054.64619680356         4.807600348760438              105.103204642182              300.8330681991244         332.4336527966772         318.0969025000882         
30583.01366754137         0.3746716517216598        26289.80548322252                 37.59848363505664             45.88780871486607             65.19539611298509              21475.68097834313         4.907922776755963              103.7792376528116             306.7482937279206         335.6644125191406         322.6367544314649         
30583.45280730818         0.3746863126173832        26289.84697932249                 37.59853449865832             45.88931456705293             65.19538885063076              20901.9203460182          5.010675850739897              102.1993757373417             313.4694001952821         339.142734051235          327.6579837506205         
30583.73868105163         0.3746981205754257        26289.8220929721                  37.59849214968144             45.89152049884316             65.19538384783874              20403.73685635188         5.102767229551203              100.5134326004349             320.3450687291286         342.5228962471962         332.6645067942497         
30583.82054418838         0.3747053603022174        26289.72653083402                 37.59835103217844             45.89429165221371             65.19534261047004              19989.23633510909         5.18154980587224               98.7583807702745              327.2647902126437         345.7757200221799         337.5915947396226         
30583.67485222248         0.3747070288300464        26289.56305231965                 37.59811538319005             45.89741644063395             65.19522550694822              19658.0515666441          5.245978590607333              96.95377468154125             334.1956097024957         348.9143485905552         342.4353605791395         
30583.30492368008         0.3747028772857395        26289.34021476255                 37.59779750059904             45.90063548252167             65.19499656707886              19408.36691173316         5.295455119904624              95.11593777922532             341.1167812679736         351.9573380584134         347.2014764575218         
30582.74094185374         0.3746934525592366        26289.07141873006                 37.59741638633576             45.90368729248929             65.19462730604997              19237.92496081047         5.329682649097535              93.2593143695245              348.0130481532548         354.924551808651          351.8994187392289         
30582.03552989958         0.3746799940007233        26288.77347791936                 37.59699573550993             45.90635440419636             65.19409939198906              19144.42553173959         5.348607342232009              91.3964576582466              354.8742110331667         357.8366376886904         356.5416496802593         
30581.25577228526         0.3746642065507119        26288.46497006914                 37.59656163439429             45.90849783991                65.19340597927768              19125.833339808           5.352359079425003              89.53818864948327             1.694493763095273         0.7147367365226601        1.142919286361931         
30580.47355890528         0.3746479695692761        26288.16461794508                 37.59614030910369             45.91007385796898             65.19255181928979              19180.59773973048         5.341198767790043              87.69394391238517             8.471547524931381         3.5802791975993           5.719533884473186         
30579.75612575988         0.3746330441175608        26287.88986885372                 37.59575615331212             45.91113197067646             65.19155244200017              19307.77383998792         5.315480489836772              85.87229871674018             15.20503893875174         6.454763876052801         10.28849245467144         
30579.15820293593         0.3746208285429101        26287.65574223139                 37.59543012687313             45.91179714156367             65.19043273846351              19507.02485785361         5.275636235360318              84.081631349399               21.89481140686167         9.359415896059883         14.86639790537437         
30578.71651825463         0.3746121920312466        26287.47391144339                 37.5951784761571              45.91224120136568             65.18922497862688              19778.52855941958         5.222179145550928              82.33058168487545             28.53975932642577         12.31510651252624         19.46882693257102         
30578.44722822587         0.3746074052733738        26287.35207652926                 37.59501185622641             45.91264896576329             65.18796664751891              20122.74018289527         5.155732272474611              80.62871365158257             35.13574034098027         15.34170449029983         24.10892628160247         
30578.34615848219         0.3746061665606655        26287.29356852562                 37.59493477431455             45.91318496766934             65.18669802263493              20539.99287187176         5.077080643328321              78.98704345563408             41.67355463940476         18.45713981770173         28.79581473356751         
30578.39163566926         0.3746077139162328        26287.29721437138                 37.59494539970407             45.9139660867158              65.18545934922773              21029.9852069387          4.987229317987858              77.41817614754558             48.13779702216839         21.67641590782957         33.53327538556872         
30578.54955891676         0.3746110047220879        26287.35758366759                 37.59503591488525             45.91504507762004             65.18428750546016              21591.34212131135         4.887427938459227              75.93572049981692             54.50796832652951         25.0112718298138          38.31979926956627         
30578.78002743916         0.3746149296668786        26287.46578764337                 37.59519364987209             45.91640894204952             65.18321243250902              22221.58680749792         4.779107436150642              74.55283742817697             60.7631509996093          28.47158307447717         43.15129734336239         
30579.04411251438         0.3746185088592402        26287.61080967223                 37.59540296652538             45.91799193099432             65.18225458426107              22917.57198692504         4.663741882586354              73.28079642282651             66.88774743015311         32.06794176440083         48.02514904686589         
30579.30870710145         0.3746210173155919        26287.78079950005                 37.59564708246971             45.91969526414218             65.18142522555591              23675.21440623925         4.542841681348714              72.12961819521752             72.86853986857965         35.80984056087914         52.93790615955576         
30579.54859449475         0.3746220350153854        26287.96370383569                 37.59590894961373             45.92140446541398             65.18072882730083              24487.22151077885         4.41824871161189               71.11054967857379             78.67936594564708         39.69471097133955         57.87197652022866         
30579.74991722678         0.374621436631711         26288.15048257355                 37.59617583381804             45.92302942727193             65.18015638560797              25353.65537473568         4.290506773964893              70.22388480121543             84.3536260320714          43.75755750532787         62.85813835242259         
30579.90570834685         0.3746192868226207        26288.33366558151                 37.59643722458119             45.92449555709168             65.17969698498288              26274.96946285625         4.160045556711279              69.47266789059539             89.92220826314433         48.03618187725225         67.92710709576301         
