DefaultSC.Earth.SMA       DefaultSC.Earth.ECC       DefaultSC.Earth.SemilatusRectum   DefaultSC.EarthMJ2000Eq.INC   DefaultSC.EarthMJ2000Eq.AOP   DefaultSC.EarthMJ2000Eq.RAAN   DefaultSC.Earth.RMAG      DefaultSC.EarthMJ2000Eq.VMAG   DefaultSC.EarthMJ2000Eq.FPA   DefaultSC.Earth.TA        DefaultSC.Earth.MA        DefaultSC.Earth.EA        DefaultSC.Earth.HA        
-15002.54188890324        1.499799673429358         18744.16173988954                 30.01464292707985             90.01391438953144             44.98985294716463              74991.41760228299         6.099132890009858              169.1065734740525             239.9934092241111         -214.5572413237001        0                         -118.2201400764632        
-15002.54159932108        1.499799689486197         18744.16210066948                 30.01464385713106             90.01391475120889             44.98985187517471              74631.9679156128          6.103328801522752              169.0610795346184             240.046503019983          -213.376122435908         0                         -117.9832804573609        
-15002.54070279247        1.49979973883277          18744.16320122289                 30.01464669497907             90.01391583407829             44.9898486183417               73562.91487099123         6.116032761865038              168.9234534648405             240.207304892514          -209.8670712319274        0                         -117.2727881945175        
-15002.53782975575        1.499799893579756         18744.16657551594                 30.0146554025784              90.01391896535202             44.98983875509536              70520.46111276629         6.154136873749418              168.5116871978388             240.6900690358921         -199.9121809456915        0                         -115.1994217095101        
-15002.52852039598        1.499800367309962         18744.17626301619                 30.01468045332193             90.01392643554794             44.9898114142846               63334.07959658976         6.257484969920373              167.4022696906895             242.0030637981776         -176.5977449013446        0                         -109.9687524150426        
-15002.5158206316         1.499800967035146         18744.18738448879                 30.01470928999569             90.01393239007757             44.9897816926924               57040.27435686572         6.367496520023539              166.2322820966376             243.4069518351152         -156.4346243353346        0                         -104.938743624843         
-15002.4983114552         1.499801738608565         18744.20023046021                 30.01474267511107             90.01393600233735             44.9897494119755               51427.98085326674         6.486157868079297              164.9816370719541             244.929095413343          -138.6828511909085        0                         -100.0242828287938        
-15002.47422247399        1.499802734193433         18744.21493636176                 30.01478096323807             90.01393608355657             44.98971496965408              46413.51332223543         6.614002683778295              163.6457868871551             246.5790200324789         -123.0257713255736        0                         -95.2190142905574         
-15002.44113581589        1.499804023120481         18744.2316011708                  30.01482440374603             90.01393119992321             44.98967898319444              41922.98723852001         6.751657605111522              162.2189946353394             248.3681846472751         -109.1854512495883        0                         -90.5143265605207         
-15002.39574865409        1.499805697788511         18744.25025619351                 30.01487305446448             90.01391970583744             44.98964233890347              37891.9531033578          6.899848568360285              160.694177859777              250.3102926728918         -96.92047636876785        0                         -85.90004380662218        
