Time = 64800.0 sec 
   4 2.413895138e+07 1.268510749e+08 9.884501456e+07 
   7 2.045373546e+07 1.074851755e+08 8.375469785e+07 
   9 2.190178630e+07 1.150946802e+08 8.968418847e+07 
  11 2.356411630e+07 1.238303546e+08 9.649120804e+07 
  27 2.180169946e+07 1.145688147e+08 8.927444562e+07 
  28 2.409907556e+07 1.266415233e+08 9.868172218e+07 
  30 2.239547630e+07 1.176890860e+08 9.170579537e+07 
  19 2.043428580e+07 1.073830436e+08 8.367514470e+07 
**************** 
Time = 64830.0 sec 
   4 2.412076488e+07 1.267555060e+08 9.877054556e+07 
   7 2.044519850e+07 1.074403137e+08 8.371974065e+07 
   9 2.191652336e+07 1.151721236e+08 8.974453389e+07 
  11 2.354456342e+07 1.237276043e+08 9.641114311e+07 
  27 2.181521020e+07 1.146398141e+08 8.932976977e+07 
  28 2.408590006e+07 1.265722863e+08 9.862777136e+07 
  30 2.237963460e+07 1.176058375e+08 9.164092641e+07 
  19 2.043536600e+07 1.073887202e+08 8.367956804e+07 
**************** 
Time = 64860.0 sec 
   4 2.410259186e+07 1.266600074e+08 9.869613141e+07 
   7 2.043672728e+07 1.073957975e+08 8.368505274e+07 
   9 2.193133562e+07 1.152499625e+08 8.980518748e+07 
  11 2.352503190e+07 1.236249666e+08 9.633116597e+07 
  27 2.182879914e+07 1.147112243e+08 8.938541408e+07 
  28 2.407274916e+07 1.265031787e+08 9.857392144e+07 
  30 2.236382148e+07 1.175227391e+08 9.157617450e+07 
  19 2.043657040e+07 1.073950494e+08 8.368449995e+07 
**************** 
Time = 64890.0 sec 
   4 2.408443330e+07 1.265645847e+08 9.862177630e+07 
   7 2.042832260e+07 1.073516310e+08 8.365063727e+07 
   9 2.194622302e+07 1.153281962e+08 8.986614874e+07 
  11 2.350552280e+07 1.235224464e+08 9.625128036e+07 
  27 2.184246616e+07 1.147830450e+08 8.944137818e+07 
  28 2.405962330e+07 1.264342027e+08 9.852017409e+07 
  30 2.234803764e+07 1.174397948e+08 9.151154263e+07 
  19 2.043789930e+07 1.074020328e+08 8.368994151e+07 
**************** 
Time = 64920.0 sec 
   4 2.406628916e+07 1.264692378e+08 9.854748032e+07 
   7 2.041998428e+07 1.073078128e+08 8.361649331e+07 
   9 2.196118450e+07 1.154068189e+08 8.992741311e+07 
  11 2.348603598e+07 1.234200436e+08 9.617148620e+07 
  27 2.185621020e+07 1.148552704e+08 8.949765768e+07 
  28 2.404652182e+07 1.263653550e+08 9.846652669e+07 
  30 2.233228286e+07 1.173570032e+08 9.144702974e+07 
  19 2.043935196e+07 1.074096665e+08 8.369588992e+07 
**************** 
Time = 64950.0 sec 
   4 2.404816130e+07 1.263739765e+08 9.847325107e+07 
   7 2.041171392e+07 1.072643519e+08 8.358262769e+07 
   9 2.197622078e+07 1.154858347e+08 8.998898378e+07 
  11 2.346657336e+07 1.233177683e+08 9.609179147e+07 
  27 2.187003210e+07 1.149279047e+08 8.955425583e+07 
  28 2.403344606e+07 1.262966423e+08 9.841298447e+07 
  30 2.231655876e+07 1.172743728e+08 9.138264250e+07 
  19 2.044092942e+07 1.074179561e+08 8.370234936e+07 
**************** 
Time = 64980.0 sec 
   4 2.403004884e+07 1.262787958e+08 9.839908450e+07 
   7 2.040351034e+07 1.072212419e+08 8.354903544e+07 
   9 2.199132970e+07 1.155652323e+08 9.005085193e+07 
  11 2.344713382e+07 1.232156145e+08 9.601219134e+07 
  27 2.188392972e+07 1.150009370e+08 8.961116404e+07 
  28 2.402039436e+07 1.262280559e+08 9.835954065e+07 
  30 2.230086406e+07 1.171918970e+08 9.131837568e+07 
  19 2.044263000e+07 1.074268928e+08 8.370931300e+07 
**************** 
Time = 65010.0 sec 
   4 2.401195338e+07 1.261837043e+08 9.832498753e+07 
   7 2.039537494e+07 1.071784900e+08 8.351572229e+07 
   9 2.200651180e+07 1.156450146e+08 9.011301984e+07 
  11 2.342771912e+07 1.231135911e+08 9.593269288e+07 
  27 2.189790366e+07 1.150743702e+08 8.966838471e+07 
  28 2.400736782e+07 1.261596016e+08 9.830619975e+07 
  30 2.228520020e+07 1.171095832e+08 9.125423510e+07 
  19 2.044445458e+07 1.074364811e+08 8.371678439e+07 
**************** 
Time = 65040.0 sec 
   4 2.399387510e+07 1.260887030e+08 9.825096083e+07 
   7 2.038730752e+07 1.071360955e+08 8.348268763e+07 
   9 2.202176618e+07 1.157251763e+08 9.017548349e+07 
  11 2.340832950e+07 1.230116992e+08 9.585329680e+07 
  27 2.191195296e+07 1.151481995e+08 8.972591401e+07 
  28 2.399436590e+07 1.260912769e+08 9.825295993e+07 
  30 2.226956706e+07 1.170274309e+08 9.119022033e+07 
  19 2.044640256e+07 1.074467178e+08 8.372476105e+07 
**************** 
Time = 65070.0 sec 
   4 2.397581494e+07 1.259937971e+08 9.817700838e+07 
   7 2.037930882e+07 1.070940621e+08 8.344993439e+07 
   9 2.203709254e+07 1.158057166e+08 9.023824207e+07 
  11 2.338896576e+07 1.229099431e+08 9.577400659e+07 
  27 2.192607744e+07 1.152224241e+08 8.978375129e+07 
  28 2.398138890e+07 1.260230834e+08 9.819982219e+07 
  30 2.225396532e+07 1.169454435e+08 9.112633409e+07 
  19 2.044847414e+07 1.074576038e+08 8.373324373e+07 
**************** 
Time = 65100.0 sec 
   4 2.395777302e+07 1.258989871e+08 9.810313070e+07 
   7 2.037137884e+07 1.070523898e+08 8.341746251e+07 
   9 2.205248994e+07 1.158866304e+08 9.030129168e+07 
  11 2.336962806e+07 1.228083237e+08 9.569482282e+07 
  27 2.194027624e+07 1.152970390e+08 8.984189277e+07 
  28 2.396843644e+07 1.259550184e+08 9.814678469e+07 
  30 2.223839490e+07 1.168636206e+08 9.106257608e+07 
  19 2.045066866e+07 1.074691362e+08 8.374223003e+07 
**************** 
Time = 65130.0 sec 
   4 2.393975058e+07 1.258042796e+08 9.802933286e+07 
   7 2.036351860e+07 1.070110841e+08 8.338527627e+07 
   9 2.206795842e+07 1.159679182e+08 9.036463269e+07 
  11 2.335031766e+07 1.227068471e+08 9.561575027e+07 
  27 2.195454946e+07 1.153720451e+08 8.990033903e+07 
  28 2.395550904e+07 1.258870853e+08 9.809384994e+07 
  30 2.222285680e+07 1.167819674e+08 9.099895028e+07 
  19 2.045298662e+07 1.074813173e+08 8.375172178e+07 
**************** 
Time = 65160.0 sec 
   4 2.392174770e+07 1.257096746e+08 9.795561490e+07 
   7 2.035572778e+07 1.069701432e+08 8.335337430e+07 
   9 2.208349700e+07 1.160495739e+08 9.042826045e+07 
  11 2.333103446e+07 1.226055135e+08 9.553678918e+07 
  27 2.196889598e+07 1.154474366e+08 8.995908557e+07 
  28 2.394260616e+07 1.258192808e+08 9.804101538e+07 
  30 2.220735068e+07 1.167004825e+08 9.093545558e+07 
  19 2.045542716e+07 1.074941426e+08 8.376171554e+07 
**************** 
Time = 65190.0 sec 
   4 2.390376520e+07 1.256151769e+08 9.788198051e+07 
   7 2.034800696e+07 1.069295702e+08 8.332175896e+07 
   9 2.209910536e+07 1.161315961e+08 9.049217374e+07 
  11 2.331177918e+07 1.225043269e+08 9.545794270e+07 
  27 2.198331556e+07 1.155232120e+08 9.001813134e+07 
  28 2.392972798e+07 1.257516062e+08 9.798828210e+07 
  30 2.219187716e+07 1.166191690e+08 9.087209446e+07 
  19 2.045799040e+07 1.075076127e+08 8.377221173e+07 
**************** 
Time = 65220.0 sec 
   4 2.388580394e+07 1.255207908e+08 9.780843310e+07 
   7 2.034035682e+07 1.068893685e+08 8.329043300e+07 
   9 2.211478310e+07 1.162139832e+08 9.055637138e+07 
  11 2.329255272e+07 1.224032917e+08 9.537921417e+07 
  27 2.199780794e+07 1.155993702e+08 9.007747531e+07 
  28 2.391687456e+07 1.256840624e+08 9.793565069e+07 
  30 2.217643688e+07 1.165380300e+08 9.080886930e+07 
  19 2.046067640e+07 1.075217278e+08 8.378321048e+07 
**************** 
Time = 65250.0 sec 
   4 2.386786412e+07 1.254265173e+08 9.773497342e+07 
   7 2.033277726e+07 1.068495378e+08 8.325939606e+07 
   9 2.213052924e+07 1.162967301e+08 9.062084936e+07 
  11 2.327335526e+07 1.223024088e+08 9.530060429e+07 
  27 2.201237224e+07 1.156759062e+08 9.013711370e+07 
  28 2.390404568e+07 1.256166471e+08 9.788311945e+07 
  30 2.216102976e+07 1.164570651e+08 9.074577983e+07 
  19 2.046348454e+07 1.075364846e+08 8.379470926e+07 
**************** 
Time = 65280.0 sec 
   4 2.384994680e+07 1.253323620e+08 9.766160582e+07 
   7 2.032526906e+07 1.068100821e+08 8.322865132e+07 
   9 2.214634376e+07 1.163798362e+08 9.068560728e+07 
  11 2.325418778e+07 1.222016835e+08 9.522211728e+07 
  27 2.202700840e+07 1.157528197e+08 9.019704626e+07 
  28 2.389124168e+07 1.255493624e+08 9.783068992e+07 
  30 2.214565654e+07 1.163762784e+08 9.068282922e+07 
  19 2.046641502e+07 1.075518842e+08 8.380670896e+07 
**************** 
Time = 65310.0 sec 
   4 2.383205188e+07 1.252383243e+08 9.758832980e+07 
   7 2.031783186e+07 1.067709995e+08 8.319819737e+07 
   9 2.216222546e+07 1.164632950e+08 9.075064000e+07 
