sat_joseph_le.Earth.TA    sat_joseph_le.EarthMJ2000Eq.X   sat_joseph_le.EarthMJ2000Eq.Y   sat_joseph_le.EarthMJ2000Eq.VX   sat_joseph_le.EarthMJ2000Eq.VY   sat_joseph_le.Earth.OrbitPeriod   sat_joseph_le.Earth.Energy   sat_joseph_le.Earth.SemilatusRectum   sat_joseph_le.EarthMJ2000Eq.FPA   sat_joseph_le.Earth.EA    sat_joseph_le.ElapsedSecs   sat_joseph_le.ElapsedDays   
90.0000000000001          -1.779125091054934e-11          11915.806365                    -5.783718791569632               4.060748963561031                35851.94933890153                 -8.480860457446816           11915.80636499999                     54.9273070038215                  45.40426894643448         0                           0                           
91.63519995831412         -346.9755252488226              12154.46403881141               -5.781362586097324               3.895632436038315                35850.02300554504                 -8.481164256751416           11915.80683093674                     54.39169752294629                 46.58154549356863         59.99999988125637           0.0006944444430700969       
95.13773136634089         -1138.621099328466              12664.12630493981               -5.76047324073888                3.542603463801196                35846.16255159213                 -8.481773165378382           11915.8079060674                      53.27151412425791                 49.18621601002043         197.1394196036272           0.002281706245412352        
99.50778162116978         -2226.360085277672              13293.71413997794               -5.704245240347928               3.105033963871263                35841.8460061621                  -8.482454142661126           11915.80938691986                     51.93153576369947                 52.60753608421865         386.819667799864            0.004477079488424351        
103.8263518147617         -3421.479524945087              13903.03792944933               -5.61609232508858                2.678098166186688                35838.10716414086                 -8.4830440920583             11915.81099165773                     50.67980702555747                 56.19515466223336         597.898344299756            0.00692011972569162         
108.0138713894515         -4706.361881365132              14473.90205222496               -5.500156844005335               2.27161452531717                 35834.95568507932                 -8.483541441522178           11915.81266923129                     49.5463794128781                  59.89160865219076         829.0164640056901           0.00959509796302882         
112.075383345988          -6082.625855037041              14999.56541761602               -5.359653122824669               1.886483155796802                35832.31503752554                 -8.483958230441882           11915.81439549064                     48.53547771753385                 63.70342019238869         1082.437651860528           0.01252821356320055         
116.029130434795          -7556.110391194205              15473.97527352445               -5.197017182772428               1.522054773468054                35830.10696209176                 -8.484306783263959           11915.81615198632                     47.64947110745089                 67.65030908416844         1361.572747025639           0.01575894383131526         
119.8968890386745         -9134.876643807074              15889.89483780155               -5.013981539854573               1.177238970127426                35828.26207702186                 -8.484598032605065           11915.81792317882                     46.89279519409707                 71.75886952998961         1670.799134101253           0.01933795294098672         
123.7016731762328         -10828.66089309277              16237.9628438468                -4.811641544889528               0.8508480386910716               35826.72129281214                 -8.484841293138              11915.81969598927                     46.27373162259008                 76.06160554305961         2015.590018162038           0.02332858817317174         
127.4665851973701         -12648.25670683921              16505.78519293461               -4.590545300957104               0.5418009749157113               35825.43530857674                 -8.485044338949283           11915.82145956023                     45.8061131172034                  80.59662140089466         2402.701082616113           0.02780904030805686         
131.1264778970976         -14557.1736900971               16674.21612642246               -4.356618618839412               0.2559204649615316               35824.38632093751                 -8.485209974039549           11915.82316446617                     45.51604620263264                 85.29140066551312         2829.497081309091           0.03274880881144782         
134.6594324397469         -16530.29014736995              16730.78908332465               -4.113940990416425               -0.00533853000359503             35823.53871166588                 -8.485343817401441           11915.82478632746                     45.41972762102176                 90.11113809902136         3295.495815086178           0.03814231267460855         
138.0845251406756         -18560.54653789371              16665.51960339216               -3.863737172197791               -0.2438798510662548              35822.85197301336                 -8.485452262051346           11915.82632484261                     45.53240499236108                 95.07149016306651         3804.641588393133           0.04403520356936497         
141.4216461562453         -20640.0463037851               16467.24658806435               -3.606677768928183               -0.4615146112203442              35822.29388537128                 -8.485540393644554           11915.8277838028                      45.87591909545055                 100.1923001664454         4361.576788290404           0.05048121282743523         
144.689102562119          -22757.94734836472              16123.53691052655               -3.343128350369088               -0.6597557131185394              35821.83926978088                 -8.485612186920665           11915.82916894977                     46.48047432715446                 105.494119742309          4971.318601781968           0.05753840974284685         
147.9038633864545         -24899.56814283943              15620.8796486148                -3.073217237754117               -0.8398292782868327              35821.46839000081                 -8.485670757692002           11915.83048724537                     47.38658051200693                 110.9979476408108         5639.186520734802           0.06526836250850465         
151.0813513717723         -27045.09625011779              14945.16995164624               -2.79692759848993                -1.002665623220322               35821.16576928297                 -8.485718549476649           11915.83174612516                     48.64727968245641                 116.7240480515931         6370.568974292837           0.07373343720246339         
